AREA,PERIMETER,UNIQUEID,SCHEDULERE,SURVEYORCO,WATERSEDGE,ZONETYPE,ZONESUBTYP,CLAUSE,SURVEYDATE,FTYPE_CODE,WATERWAY_I,SCHEDULE_T,DISPLAY_HE,DISPLAY_TE,CONDITIONA,CONDITIO_1,CREATION_T,DISPLAY_RE,DISPLAY_IC,ZONEID,SURVEYORNA,Shape_Leng,Shape_Area,longitude,latitude
2.4664e-07,0.00200386131,LakeCharm_0001,139.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/07/2011,,34.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 139, Clause 5",SkiingPermitted.png,139-1.a,Tad Knaggs,0.0020038606299999998,2.4664e-07,143.813909,-35.601544
2.4666999999999997e-07,0.00201577522,LakeCharm_0002,139.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/07/2011,,34.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 139, Clause 5",SkiingPermitted.png,139-1.b,Tad Knaggs,0.0020157748,2.4666999999999997e-07,143.812669,-35.609199
3.6819e-07,0.00244293343,LakeCharm_0003,139.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/07/2011,,34.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 139, Clause 5",SkiingPermitted.png,139-1.c,Tad Knaggs,0.0024429333899999997,3.6819e-07,143.813681,-35.607716
1.7501589999999998e-05,0.02249110133,LakeEildon_0037,90.0,Geomatic Technologies,VicMap Modified,No Wash,Not Applicable,11,4/05/2009,,37.0,,No Wash,,0,,AUTO,"Refer to Schedule 090, Clause 11",NA.png,090-4.c,Brad Griffiths,0.02249110151,1.7501589999999998e-05,145.923243,-37.218464
6.253569999999999e-06,0.01049916652,LakeHume_0001,95.0,Geomatic Technologies,VicMap Modified,Access Lane - Water Skiing,Not Applicable,5,12/05/2008,,41.0,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 095, Clause 5",SkiingPermitted.png,095-1_(>10%),Jamie Portman,0.01049916465,6.253569999999999e-06,147.05109,-36.090146
2.11184e-06,0.00793620492,Learmonth-Lake_0001,64.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,27/02/2012,,46.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 064, Clause 5",SkiingPermitted.png,064-1.a,Tad Knaggs,0.0079362046,2.11184e-06,143.705592,-37.421925
3.3891699999999997e-06,0.01056201074,Learmonth-Lake_0002,64.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/05/2012,,46.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 064, Clause 5",SkiingPermitted.png,064-1.b,Tad Knaggs,0.010562010390000001,3.3891699999999997e-06,143.723396,-37.431187
1.74637e-06,0.00657171751,Learmonth-Lake_0003,64.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,27/02/2012,,46.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 064, Clause 5",SkiingPermitted.png,064-1.c,Tad Knaggs,0.00657171809,1.74637e-06,143.695922,-37.444936
1.63615e-06,0.00701978723,RocklandsReservoir_0001,44.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,10/05/2012,,61.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 044, Clause 5",SkiingPermitted.png,044-1.a,Tad Knaggs,0.007019786290000001,1.63615e-06,141.965157,-37.230951
1.19029e-06,0.0054311985,RocklandsReservoir_0002,44.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,10/05/2012,,61.0,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 044, Clause 5",SkiingPermitted.png,044-1.b,Tad Knaggs,0.00543119794,1.19029e-06,141.97293,-37.231983
7.210369999999999e-06,0.011352699979999999,WarangaBasin_0001,85.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/11/2011,,71.0,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 085, Clause 5",SkiingPermitted.png,085-1.a (>114.38),Tad Knaggs,0.01135270097,7.210369999999999e-06,145.042101,-36.55447
2.29768e-06,0.00643413147,WarangaBasin_0002,85.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/11/2011,,71.0,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 085, Clause 5",SkiingPermitted.png,085-1.b (>114.38),Tad Knaggs,0.00643413164,2.29768e-06,145.075117,-36.578854
5.2651199999999995e-06,0.009584829540000001,WarangaBasin_0003,85.0,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/11/2011,,71.0,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 085, Clause 5",SkiingPermitted.png,085-1.c (>114.38),Tad Knaggs,0.00958482993,5.2651199999999995e-06,145.082143,-36.527168
