STATION,STNAME,LATITUDE,LONGITUDE,FISHING,FISH,Field pH,Field DO,Field Temp,Field SampTemp,Field AirTemp,Field SampDepth,Field Turb,Field EC,EC,Color,Temp,pH,Total Alk,BiCarb,Cab,OH,Hardness,CalcHardness,Calc TDS,TSS,Ca,Cl,Mg,Nitrate,Nitrite,NO3+NO2,Ammonia,Kjeldahl N,Total N,DO,Total P,FRP,K,Na,SO4,Al,As,Cd,Cr,Cu,F,Fe,Pb,Mn,Hg,Mo,Ni,Se,SiO2,Zn,Anions,Cations,TOC,DOC,Chlorophyll-a,Phaeophytin,LOCATION,BOATING,ZONETYPE,ZONESUBTYP,DISPLAY_HE,ZONEID
223210,NICHOLSON RIVER,-37.73756155,147.7109962,0,,627,627,0,0,0,629,681,0,0,724,0,1,0,0,0,0,0,0,0,723,0,0,0,0,0,0,0,724,0,0,723,725,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,SARSFIELD,0,,,,
223212,TIMBARRA RIVER,-37.44631843,148.0634337,0,,196,196,0,0,0,196,196,0,0,98,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,98,0,0,98,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D/S OF WILKINSON CREEK,0,,,,
223214,TAMBO RIVER,-36.95470656,147.92764,1,"Bream, Luderick, Flathead, Mulloway",359,361,0,0,0,359,373,0,0,369,0,1,0,0,0,0,0,0,0,369,0,0,0,0,0,0,7,369,0,0,369,360,0,0,11,0,14,4,8,15,0,0,15,11,2,0,8,0,0,15,0,0,0,0,0,0,U/S OF SMITH CREEK,0,,,,
223215,HAUNTED STREAM,-37.48138705,147.8258389,0,,96,96,0,0,0,96,97,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HELLS GATE,0,,,,
223217,NICHOLSON RIVER,-37.75058395,147.7274893,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMP HOUSE,0,,,,
223802,RAINGAUGE,-37.47524703,147.913057,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOUNT ELIZABETH SOMMERVILLE TRACK,0,,,,
224200,MITCHELL RIVER,-37.82638609,147.5936165,1,Bream,4,4,0,0,0,4,5,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,BAIRNSDALE,0,,,,
224201,WONNANGATTA RIVER,-37.48996086,147.1664437,0,,179,179,0,0,0,179,179,0,0,47,0,0,47,0,0,0,0,0,0,47,47,47,47,0,0,0,0,46,0,0,45,0,47,47,47,0,0,0,0,0,0,47,0,47,0,0,0,0,45,0,0,0,43,0,0,0,WATERFORD,0,,,,
224203,MITCHELL RIVER,-37.76358991,147.3747776,1,Bream,361,363,0,0,0,361,376,0,0,367,0,1,2,0,0,0,0,0,0,363,2,2,2,0,0,0,8,364,0,0,364,358,2,2,2,0,5,5,5,5,0,2,5,2,5,0,5,0,2,5,0,0,2,0,0,0,GLENALADALE,0,,,,
224206,WONNANGATTA RIVER,-37.4074969,147.0891645,0,,355,358,0,0,0,358,371,0,0,364,0,1,2,0,0,0,0,0,0,365,2,2,2,0,0,0,5,365,0,0,365,354,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0,CROOKED RIVER,0,,,,
