AREA,PERIMETER,UNIQUEID,SCHEDULERE,SURVEYORCO,WATERSEDGE,ZONETYPE,ZONESUBTYP,CLAUSE,SURVEYDATE,FTYPE_CODE,WATERWAY_I,SCHEDULE_T,DISPLAY_HE,DISPLAY_TE,CONDITIONA,CONDITIO_1,CREATION_T,DISPLAY_RE,DISPLAY_IC,ZONEID,SURVEYORNA,Shape_Leng,Shape_Area
0.00001029207,0.01802243731,Buffalo-Lake_0007,"096",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",29/07/2011,,10.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 096, Clause 9",NoBoating.png,096-3.a,Tad Knaggs,0.01802243801,0.00001029207
0.00000063634,0.00344315303,Buffalo-Lake_0008,"096",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",29/07/2011,,10.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 096, Clause 9",NoBoating.png,096-3.b,Tad Knaggs,0.00344315227,0.00000063634
0.00000035100,0.00237748373,Buffalo-Lake_0009,"096",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",29/07/2011,,10.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 096, Clause 9",NoBoating.png,096-3.c,Tad Knaggs,0.00237748356,0.00000035101
0.00000048819,0.00413093961,BullenMerri-Lake_0001,"116",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",26/05/2011,,11.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 116, Clause 9",NoBoating.png,116-2,Tad Knaggs,0.00413093959,0.00000048819
0.00000038122,0.00260192435,BullenMerri-Lake_0002,"116",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",26/05/2011,,11.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 116, Clause 5",SkiingPermitted.png,116-3,Tad Knaggs,0.00260192514,0.00000038122
0.00000197571,0.00617959829,Burrumbeet-Lake_0002,"043",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",16/03/2012,,12.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 043, Clause 5",SkiingPermitted.png,043-2.a,Tad Knaggs,0.00617959768,0.00000197571
0.00000147891,0.00507894965,Burrumbeet-Lake_0003,"043",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",8/03/2012,,12.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 043, Clause 5",SkiingPermitted.png,043-2.b,Tad Knaggs,0.00507895026,0.00000147891
0.00000726911,0.01865063292,Burrumbeet-Lake_0004,"043",Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,"5",16/03/2012,,12.00000000000,,Access Lane - Water Skiing,,"0",,AUTO,"Refer to Schedule 043, Clause 5",SkiingPermitted.png,043-2.c,Tad Knaggs,0.01865063266,0.00000726911
0.00000039348,0.00313831112,Burrumbeet-Lake_0023,"043",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",8/03/2012,,12.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 043, Clause 9",NoBoating.png,043-4.a,Tad Knaggs,0.00313831094,0.00000039348
0.00001231462,0.01608236207,Burrumbeet-Lake_0024,"043",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",15/03/2012,,12.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 043, Clause 9",NoBoating.png,043-4.b,Tad Knaggs,0.01608236185,0.00001231461
0.00000373706,0.00929595619,Burrumbeet-Lake_0025,"043",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",8/03/2012,,12.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 043, Clause 9",NoBoating.png,043-4.c,Tad Knaggs,0.00929595672,0.00000373706
0.00000268830,0.00778072514,Burrumbeet-Lake_0026,"043",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",16/03/2012,,12.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 043, Clause 9",NoBoating.png,043-4.d,Tad Knaggs,0.00778072523,0.00000268830
0.00000036634,0.00252783576,Burrumbeet-Lake_0027,"043",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",8/03/2012,,12.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 043, Clause 9",NoBoating.png,043-4.e,Tad Knaggs,0.00252783608,0.00000036634
0.00028095770,0.10240163351,Burrumbeet-Lake_0028,"043",Geomatic Technologies,VicMap,Vessels Prohibited,All Vessels,"9",30/03/2012,,12.00000000000,,Vessels Prohibited (All Vessels),,"0",,AUTO,"Refer to Schedule 043, Clause 9",NoBoating.png,043-4.f,Tad Knaggs,0.10240163265,0.00028095769
